name	path	emotion
Ses01M_script02_1_M021_fru	/home/franco/tesis/IEMOCAP_mp3/Ses01M_script02_1_M021_fru.mp3	positivo
Ses01M_script03_2_M000_xxx	/home/franco/tesis/IEMOCAP_mp3/Ses01M_script03_2_M000_xxx.mp3	negativo
Ses01M_impro07_F028_xxx	/home/franco/tesis/IEMOCAP_mp3/Ses01M_impro07_F028_xxx.mp3	negativo
Ses01F_script02_2_F003_xxx	/home/franco/tesis/IEMOCAP_mp3/Ses01F_script02_2_F003_xxx.mp3	negativo
Ses01M_impro07_F034_hap	/home/franco/tesis/IEMOCAP_mp3/Ses01M_impro07_F034_hap.mp3	negativo
Ses01F_impro03_M019_neu	/home/franco/tesis/IEMOCAP_mp3/Ses01F_impro03_M019_neu.mp3	negativo
Ses01M_script03_1_M025_xxx	/home/franco/tesis/IEMOCAP_mp3/Ses01M_script03_1_M025_xxx.mp3	negativo
Ses01M_impro07_F016_exc	/home/franco/tesis/IEMOCAP_mp3/Ses01M_impro07_F016_exc.mp3	negativo
Ses01M_impro07_F007_exc	/home/franco/tesis/IEMOCAP_mp3/Ses01M_impro07_F007_exc.mp3	negativo
Ses01M_script02_2_M042_sad	/home/franco/tesis/IEMOCAP_mp3/Ses01M_script02_2_M042_sad.mp3	negativo
Ses01F_script02_2_M001_exc	/home/franco/tesis/IEMOCAP_mp3/Ses01F_script02_2_M001_exc.mp3	negativo
Ses01F_script02_1_M038_exc	/home/franco/tesis/IEMOCAP_mp3/Ses01F_script02_1_M038_exc.mp3	negativo
Ses01M_script03_2_M028_ang	/home/franco/tesis/IEMOCAP_mp3/Ses01M_script03_2_M028_ang.mp3	positivo
Ses01M_script01_3_M030_sad	/home/franco/tesis/IEMOCAP_mp3/Ses01M_script01_3_M030_sad.mp3	negativo
Ses01F_script03_1_M038_xxx	/home/franco/tesis/IEMOCAP_mp3/Ses01F_script03_1_M038_xxx.mp3	negativo
Ses01M_impro04_F019_neu	/home/franco/tesis/IEMOCAP_mp3/Ses01M_impro04_F019_neu.mp3	negativo
Ses01M_impro07_M020_neu	/home/franco/tesis/IEMOCAP_mp3/Ses01M_impro07_M020_neu.mp3	negativo
Ses01F_impro01_F002_neu	/home/franco/tesis/IEMOCAP_mp3/Ses01F_impro01_F002_neu.mp3	negativo
Ses01F_impro03_M012_xxx	/home/franco/tesis/IEMOCAP_mp3/Ses01F_impro03_M012_xxx.mp3	negativo
Ses01F_impro02_F019_sad	/home/franco/tesis/IEMOCAP_mp3/Ses01F_impro02_F019_sad.mp3	negativo
Ses01M_script01_3_M027_sad	/home/franco/tesis/IEMOCAP_mp3/Ses01M_script01_3_M027_sad.mp3	negativo
Ses01F_script03_2_F006_xxx	/home/franco/tesis/IEMOCAP_mp3/Ses01F_script03_2_F006_xxx.mp3	negativo
Ses01F_script01_3_F031_neu	/home/franco/tesis/IEMOCAP_mp3/Ses01F_script01_3_F031_neu.mp3	negativo
Ses01F_script02_2_M007_fru	/home/franco/tesis/IEMOCAP_mp3/Ses01F_script02_2_M007_fru.mp3	positivo
Ses01F_script02_1_F006_ang	/home/franco/tesis/IEMOCAP_mp3/Ses01F_script02_1_F006_ang.mp3	positivo
Ses01F_script01_1_M000_neu	/home/franco/tesis/IEMOCAP_mp3/Ses01F_script01_1_M000_neu.mp3	negativo
Ses01F_script01_1_F007_xxx	/home/franco/tesis/IEMOCAP_mp3/Ses01F_script01_1_F007_xxx.mp3	negativo
Ses01F_impro03_F002_hap	/home/franco/tesis/IEMOCAP_mp3/Ses01F_impro03_F002_hap.mp3	negativo
Ses01M_impro03_F021_neu	/home/franco/tesis/IEMOCAP_mp3/Ses01M_impro03_F021_neu.mp3	negativo
Ses01F_script01_3_M020_hap	/home/franco/tesis/IEMOCAP_mp3/Ses01F_script01_3_M020_hap.mp3	negativo
Ses01M_script01_3_M035_sad	/home/franco/tesis/IEMOCAP_mp3/Ses01M_script01_3_M035_sad.mp3	negativo
Ses01M_script01_1_F001_sur	/home/franco/tesis/IEMOCAP_mp3/Ses01M_script01_1_F001_sur.mp3	negativo
Ses01M_script02_1_M014_exc	/home/franco/tesis/IEMOCAP_mp3/Ses01M_script02_1_M014_exc.mp3	negativo
Ses01F_impro03_F017_neu	/home/franco/tesis/IEMOCAP_mp3/Ses01F_impro03_F017_neu.mp3	negativo
Ses01M_impro06_F024_neu	/home/franco/tesis/IEMOCAP_mp3/Ses01M_impro06_F024_neu.mp3	negativo
Ses01M_script01_2_M016_ang	/home/franco/tesis/IEMOCAP_mp3/Ses01M_script01_2_M016_ang.mp3	positivo
Ses01M_script02_2_F033_sad	/home/franco/tesis/IEMOCAP_mp3/Ses01M_script02_2_F033_sad.mp3	negativo
Ses01M_impro05_F013_neu	/home/franco/tesis/IEMOCAP_mp3/Ses01M_impro05_F013_neu.mp3	negativo
Ses01F_script01_1_F034_neu	/home/franco/tesis/IEMOCAP_mp3/Ses01F_script01_1_F034_neu.mp3	negativo
Ses01F_impro05_F018_ang	/home/franco/tesis/IEMOCAP_mp3/Ses01F_impro05_F018_ang.mp3	positivo
Ses01M_impro01_M010_neu	/home/franco/tesis/IEMOCAP_mp3/Ses01M_impro01_M010_neu.mp3	negativo
Ses01M_script01_3_M026_sad	/home/franco/tesis/IEMOCAP_mp3/Ses01M_script01_3_M026_sad.mp3	negativo
Ses01M_script02_2_F041_xxx	/home/franco/tesis/IEMOCAP_mp3/Ses01M_script02_2_F041_xxx.mp3	negativo
Ses01F_script01_2_F012_ang	/home/franco/tesis/IEMOCAP_mp3/Ses01F_script01_2_F012_ang.mp3	positivo
Ses01M_impro02_M000_neu	/home/franco/tesis/IEMOCAP_mp3/Ses01M_impro02_M000_neu.mp3	negativo
