name	path	emotion
Ses01F_impro02_F000_sad	/home/franco/tesis/IEMOCAP_mp3/Ses01F_impro02_F000_sad.mp3	negativo
Ses01M_impro07_F006_exc	/home/franco/tesis/IEMOCAP_mp3/Ses01M_impro07_F006_exc.mp3	negativo
Ses01F_impro01_F002_neu	/home/franco/tesis/IEMOCAP_mp3/Ses01F_impro01_F002_neu.mp3	negativo
Ses01F_impro03_F002_hap	/home/franco/tesis/IEMOCAP_mp3/Ses01F_impro03_F002_hap.mp3	negativo
Ses01M_script03_2_F017_ang	/home/franco/tesis/IEMOCAP_mp3/Ses01M_script03_2_F017_ang.mp3	positivo
Ses01F_impro01_F009_fru	/home/franco/tesis/IEMOCAP_mp3/Ses01F_impro01_F009_fru.mp3	positivo
Ses01M_impro06_F023_neu	/home/franco/tesis/IEMOCAP_mp3/Ses01M_impro06_F023_neu.mp3	negativo
Ses01M_impro07_M020_neu	/home/franco/tesis/IEMOCAP_mp3/Ses01M_impro07_M020_neu.mp3	negativo
Ses01F_impro03_M012_xxx	/home/franco/tesis/IEMOCAP_mp3/Ses01F_impro03_M012_xxx.mp3	negativo
Ses01M_impro07_M009_exc	/home/franco/tesis/IEMOCAP_mp3/Ses01M_impro07_M009_exc.mp3	negativo
Ses01F_script01_3_F031_neu	/home/franco/tesis/IEMOCAP_mp3/Ses01F_script01_3_F031_neu.mp3	negativo
Ses01M_script02_1_M021_fru	/home/franco/tesis/IEMOCAP_mp3/Ses01M_script02_1_M021_fru.mp3	positivo
Ses01M_script02_2_F033_sad	/home/franco/tesis/IEMOCAP_mp3/Ses01M_script02_2_F033_sad.mp3	negativo
Ses01F_script02_1_M023_neu	/home/franco/tesis/IEMOCAP_mp3/Ses01F_script02_1_M023_neu.mp3	negativo
Ses01M_impro01_F029_xxx	/home/franco/tesis/IEMOCAP_mp3/Ses01M_impro01_F029_xxx.mp3	negativo
Ses01F_script03_2_F006_xxx	/home/franco/tesis/IEMOCAP_mp3/Ses01F_script03_2_F006_xxx.mp3	negativo
Ses01M_script03_2_F027_ang	/home/franco/tesis/IEMOCAP_mp3/Ses01M_script03_2_F027_ang.mp3	positivo
Ses01F_script02_1_M038_exc	/home/franco/tesis/IEMOCAP_mp3/Ses01F_script02_1_M038_exc.mp3	negativo
